"","p","freq","mu_a","lambda_eff","N","beta_eff","mu_l","mu_h","mu_BB","mu_AB","mu_AA","species"
"121",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.267330172244898,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"122",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.279874762857143,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"123",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.292419353469388,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"124",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.304963944081633,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"125",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.317508534693878,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"126",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.330053125306122,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"127",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.342597715918367,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"128",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.355142306530612,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"129",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.367686897142857,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"130",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.380231487755102,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"131",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.392776078367347,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"132",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.405320668979592,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"133",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.417865259591837,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"134",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.430409850204082,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"135",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.442954440816327,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"136",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.455499031428572,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"137",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.468043622040816,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"138",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.480588212653061,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"139",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.493132803265306,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"140",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.505677393877551,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"141",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.518221984489796,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"142",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.530766575102041,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"143",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.543311165714286,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"144",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.555855756326531,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"145",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.568400346938776,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"146",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.580944937551021,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"147",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.593489528163265,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"148",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.60603411877551,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"149",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.618578709387755,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"150",1,1,0.00273972602739726,6.55693349403922,0.000123,0.00010958904109589,0.6311233,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"151",1,1,0.00273972602739726,7.66355977796998,0.000123,0.00010958904109589,0.01643836,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"152",1,1,0.00273972602739726,7.66355977796998,0.000123,0.00010958904109589,0.0289829506122449,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
"153",1,1,0.00273972602739726,7.66355977796998,0.000123,0.00010958904109589,0.0415275412244898,4.57534246575342e-05,0.9,0.5,0.1,"Ascaris lumbricoides"
